                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.046,                 2.9832,                 2.0865,                0.26735,                0.23091,                0.17938,                0.06757,                 2.2492,                 3.2736,                  2.437,             0.00033296,             0.00033296,             0.00033296
                      2,                 1.9915,                  2.576,                 2.0206,                0.39244,                0.35144,                0.31027,                0.12822,                 2.0104,                 2.4952,                 2.1634,             0.00063331,             0.00063331,             0.00063331
                      3,                 1.9106,                 2.3967,                 1.9462,                0.45899,                0.40557,                0.40979,                0.19371,                 1.9544,                 2.3169,                 2.0545,             0.00090067,             0.00090067,             0.00090067
                      4,                 1.8533,                 2.2151,                 1.8885,                0.45596,                0.39771,                0.43106,                0.18913,                 1.9226,                 2.2844,                 2.0638,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.7895,                 2.0669,                   1.83,                0.61862,                0.48405,                0.54666,                0.27271,                 1.8504,                 2.0061,                 1.9831,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.7506,                 1.9406,                 1.7953,                0.64953,                0.54059,                0.59125,                0.30966,                 1.8111,                 1.8224,                 1.9354,               0.000802,               0.000802,               0.000802
                      7,                 1.7018,                  1.808,                 1.7577,                0.67168,                 0.5337,                0.59781,                0.31494,                 1.7796,                 1.7811,                 1.8822,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.6544,                 1.6974,                  1.727,                0.72485,                0.58361,                0.65495,                0.35209,                 1.7303,                 1.6066,                   1.88,               0.000703,               0.000703,               0.000703
                      9,                 1.6083,                 1.5947,                 1.6841,                 0.7609,                0.61847,                0.70967,                0.40074,                 1.6346,                 1.3993,                 1.7893,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.5672,                 1.5018,                 1.6522,                 0.7335,                0.65928,                0.72144,                0.40134,                 1.6373,                 1.3842,                 1.7913,               0.000604,               0.000604,               0.000604
                     11,                 1.5446,                 1.3485,                 1.7329,                 0.7798,                0.69318,                0.76768,                 0.4454,                 1.5318,                  1.267,                 1.7117,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.4791,                  1.214,                 1.6761,                0.78214,                0.72918,                 0.7952,                0.47723,                 1.4698,                 1.1439,                 1.6575,               0.000505,               0.000505,               0.000505
                     13,                 1.4067,                 1.1046,                 1.6153,                0.82284,                0.75975,                0.82699,                0.50646,                 1.4216,                 1.0632,                  1.623,              0.0004555,              0.0004555,              0.0004555
                     14,                 1.3426,                 1.0039,                 1.5606,                0.83204,                0.78727,                0.84965,                0.53615,                 1.3531,                0.96349,                  1.567,               0.000406,               0.000406,               0.000406
                     15,                 1.2804,                0.92432,                 1.5111,                0.85421,                0.81387,                0.87677,                0.56333,                 1.3057,                0.89139,                 1.5264,              0.0003565,              0.0003565,              0.0003565
                     16,                 1.2126,                0.84152,                 1.4496,                0.85991,                0.83231,                0.88905,                0.58503,                 1.2576,                0.83017,                 1.4877,               0.000307,               0.000307,               0.000307
                     17,                 1.1572,                0.77766,                 1.4059,                0.85521,                0.84895,                0.90104,                0.60251,                 1.2088,                0.78434,                 1.4531,              0.0002575,              0.0002575,              0.0002575
                     18,                 1.0929,                0.71681,                 1.3476,                0.89147,                0.83404,                0.91098,                0.62166,                 1.1733,                0.74752,                 1.4206,               0.000208,               0.000208,               0.000208
                     19,                  1.041,                  0.673,                 1.3136,                0.88609,                0.85164,                0.92011,                0.63838,                 1.1243,                0.70492,                 1.3846,              0.0001585,              0.0001585,              0.0001585
                     20,                0.98836,                 0.6254,                  1.272,                0.89378,                0.85956,                0.92941,                0.65671,                 1.0926,                0.67055,                 1.3707,               0.000109,               0.000109,               0.000109
