                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.958,                0.64603,                 1.1893,                0.87496,                0.84741,                0.90202,                0.59328,                 1.2402,                0.76874,                  1.463,             0.00033296,             0.00033296,             0.00033296
                      2,                  1.187,                0.89917,                 1.3511,                0.82954,                0.78847,                0.84588,                0.50653,                  1.429,                0.98267,                 1.6086,             0.00061133,             0.00061133,             0.00061133
                      3,                  1.267,                0.90706,                 1.4678,                0.84534,                0.79909,                0.86089,                 0.5304,                 1.3634,                0.88755,                 1.5558,             0.00083469,             0.00083469,             0.00083469
                      4,                 1.2215,                0.83172,                 1.4305,                0.87196,                 0.8055,                0.87601,                 0.5585,                 1.3077,                  0.846,                 1.4971,              0.0007525,              0.0007525,              0.0007525
                      5,                 1.1688,                0.75794,                 1.3839,                0.88391,                0.83305,                0.89756,                0.58306,                 1.2556,                0.75712,                 1.4603,              0.0007525,              0.0007525,              0.0007525
                      6,                 1.0895,                0.67352,                 1.3216,                0.88301,                0.87257,                0.91524,                0.62445,                  1.159,                0.68871,                 1.3837,                0.00067,                0.00067,                0.00067
                      7,                 1.0197,                0.60375,                 1.2706,                0.90367,                0.87076,                0.92835,                 0.6457,                 1.1157,                0.66454,                 1.3467,              0.0005875,              0.0005875,              0.0005875
                      8,                 0.9555,                0.54208,                 1.2171,                0.91353,                0.89467,                0.94126,                0.68007,                 1.0313,                0.57677,                  1.294,               0.000505,               0.000505,               0.000505
                      9,                0.88446,                0.48967,                 1.1652,                0.92575,                0.89362,                0.94265,                0.68878,                0.99436,                0.55919,                 1.2479,              0.0004225,              0.0004225,              0.0004225
                     10,                0.82033,                0.44409,                 1.1225,                0.92342,                0.90683,                0.95079,                0.72469,                0.94254,                0.51171,                 1.2295,                0.00034,                0.00034,                0.00034
                     11,                0.75898,                 0.3991,                 1.0752,                0.92867,                0.92563,                0.95669,                0.74144,                0.89571,                 0.4811,                 1.1948,              0.0002575,              0.0002575,              0.0002575
                     12,                0.69802,                0.36309,                 1.0391,                0.92864,                0.93135,                0.95717,                0.76004,                0.85176,                0.45802,                  1.166,               0.000175,               0.000175,               0.000175
